Codigo de asignatura,Nombre de asignatura,Carrera,Tipologia de asignatura
3010171,administracion de empresas agrarias,ingenieria agricola,fund. optativa
1000003-m,algebra lineal,ingenieria agricola,fund. obligatoria
1000009-m,biologia general,ingenieria agricola,fund. obligatoria
3006948,botanica y fisiologia vegetal,ingenieria agricola,fund. obligatoria
1000004-m,calculo diferencial,ingenieria agricola,fund. obligatoria
1000005-m,calculo integral,ingenieria agricola,fund. obligatoria
3006964,calidad y conservacion de la carne,ingenieria agricola,disciplinar optativa
3006997,calidad y conservacion de la leche,ingenieria agricola,disciplinar optativa
3006950,ciencia del suelo,ingenieria agricola,disciplinar obligatoria
3006965,composicion y conservacion de frutas y hortalizas,ingenieria agricola,disciplinar optativa
3010547,construcciones rurales,ingenieria agricola,disciplinar obligatoria
3007310,control estadistico de la calidad,ingenieria agricola,disciplinar optativa
3007002,cursos de posgrado,ingenieria agricola,trabajo de grado
3007500,dibujo asistido por computador,ingenieria agricola,fund. obligatoria
3006969,diseno de sistemas de riego,ingenieria agricola,disciplinar obligatoria
3006971,drenaje de tierras agricolas,ingenieria agricola,disciplinar obligatoria
3006951,economia agropecuaria,ingenieria agricola,fund. optativa
1000007-m,ecuaciones diferenciales,ingenieria agricola,fund. obligatoria
3007493,electrotecnia,ingenieria agricola,disciplinar obligatoria
3006914,estadistica i,ingenieria agricola,fund. obligatoria
1000017-m,fisica de electricidad y magnetismo,ingenieria agricola,fund. obligatoria
1000019-m,fisica mecanica,ingenieria agricola,fund. obligatoria
3006952,formulacion y evaluacion de proyectos agrarios,ingenieria agricola,fund. optativa
3006976,fundamentos de ingenieria de riegos,ingenieria agricola,disciplinar obligatoria
3010435,fundamentos de programacion,ingenieria agricola,fund. obligatoria
3006988,fundamentos de sistemas de informacion geografica,ingenieria agricola,disciplinar optativa
3006953,fundamentos termicos,ingenieria agricola,disciplinar obligatoria
3007380,geologia aplicada,ingenieria agricola,disciplinar optativa
3007000,geologia fisica,ingenieria agricola,disciplinar optativa
3006954,geomorfologia,ingenieria agricola,disciplinar optativa
3006957,hidraulica,ingenieria agricola,disciplinar obligatoria
3006958,hidrologia y climatologia,ingenieria agricola,disciplinar obligatoria
3006991,ingenieria de procesos agroindustriales de granos y semillas,ingenieria agricola,disciplinar obligatoria
3006990,ingenieria de procesos agroindustriales de vegetales,ingenieria agricola,disciplinar obligatoria
3006977,ingenieria del ambiente rural,ingenieria agricola,disciplinar obligatoria
1000044-m,ingles i,ingenieria agricola,nivelacion
1000048-m,ingles i - virtual,ingenieria agricola,nivelacion
1000045-m,ingles ii,ingenieria agricola,nivelacion
1000049-m,ingles ii - virtual,ingenieria agricola,nivelacion
1000046-m,ingles iii,ingenieria agricola,nivelacion
1000050-m,ingles iii - virtual,ingenieria agricola,nivelacion
1000053-m,ingles iii y iv - intensivo,ingenieria agricola,nivelacion
1000047-m,ingles iv,ingenieria agricola,nivelacion
1000051-m,ingles iv - virtual,ingenieria agricola,nivelacion
3006979,instrumentacion,ingenieria agricola,disciplinar optativa
3006980,interventoria para estudio y diseno de obras en adecuacion de tierras,ingenieria agricola,disciplinar obligatoria
3006837,introduccion a la bioquimica,ingenieria agricola,fund. obligatoria
3006981,introduccion a la ingenieria agricola,ingenieria agricola,disciplinar obligatoria
3006838,laboratorio de introduccion a la bioquimica,ingenieria agricola,fund. obligatoria
3006825,laboratorio de quimica general,ingenieria agricola,fund. obligatoria
1000002-m,lecto-escritura,ingenieria agricola,nivelacion
1000001-m,matematicas basicas,ingenieria agricola,nivelacion
3006956,materiales y herramientas,ingenieria agricola,disciplinar obligatoria
3006960,mecanica de fluidos,ingenieria agricola,disciplinar obligatoria
3006982,mecanismos,ingenieria agricola,disciplinar obligatoria
3006983,mecanizacion agricola,ingenieria agricola,disciplinar obligatoria
3006829,quimica general,ingenieria agricola,fund. obligatoria
3006987,riego por aspersion avanzado,ingenieria agricola,disciplinar optativa
3007133,tecnologia de carnes,ingenieria agricola,disciplinar optativa
3006999,"tecnologia de dulces, helados y postres",ingenieria agricola,disciplinar optativa
3006998,tecnologia de quesos y leches fermentadas,ingenieria agricola,disciplinar optativa
3007401,topografia,ingenieria agricola,disciplinar obligatoria
3007001,trabajo de grado,ingenieria agricola,trabajo de grado
3006992,transformacion de frutas y hortalizas,ingenieria agricola,disciplinar optativa
3010171,administracion de empresas agrarias,ingenieria agronomica,disciplinar obligatoria
3011098,agroclimatologia,ingenieria agronomica,disciplinar obligatoria
3011064,agroecologia,ingenieria agronomica,disciplinar optativa
3010622,agroecosistemas y sistemas de produccion,ingenieria agronomica,disciplinar obligatoria
3007006,bioestadistica i,ingenieria agronomica,fund. obligatoria
3007007,bioestadistica ii,ingenieria agronomica,fund. obligatoria
3007008,biofisica general,ingenieria agronomica,fund. obligatoria
3007009,biologia celular y molecular,ingenieria agronomica,fund. obligatoria
3006828,bioquimica,ingenieria agronomica,fund. obligatoria
3007010,biotecnologia vegetal,ingenieria agronomica,disciplinar obligatoria
3007011,botanica general y economica,ingenieria agronomica,fund. obligatoria
1000004-m,calculo diferencial,ingenieria agronomica,fund. obligatoria
1000005-m,calculo integral,ingenieria agronomica,fund. obligatoria
3006950,ciencia del suelo,ingenieria agronomica,disciplinar obligatoria
3007067,cursos de posgrado,ingenieria agronomica,trabajo de grado
3007019,desarrollo rural sostenible,ingenieria agronomica,fund. obligatoria
3011012,ecologia general,ingenieria agronomica,disciplinar obligatoria
3006951,economia agropecuaria,ingenieria agronomica,disciplinar obligatoria
3007023,entomologia economica,ingenieria agronomica,disciplinar obligatoria
3007024,entomologia general,ingenieria agronomica,disciplinar obligatoria
3007028,fertilidad del suelo,ingenieria agronomica,disciplinar obligatoria
1000019-m,fisica mecanica,ingenieria agronomica,fund. obligatoria
3007029,fisiologia de la produccion vegetal,ingenieria agronomica,disciplinar obligatoria
3007030,fisiologia de la reproduccion vegetal,ingenieria agronomica,disciplinar obligatoria
3007033,fisiologia vegetal,ingenieria agronomica,disciplinar obligatoria
3007034,fitomejoramiento,ingenieria agronomica,disciplinar obligatoria
3007035,fitopatologia,ingenieria agronomica,disciplinar obligatoria
3006952,formulacion y evaluacion de proyectos agrarios,ingenieria agronomica,disciplinar obligatoria
3007040,genetica general,ingenieria agronomica,disciplinar obligatoria
3006954,geomorfologia,ingenieria agronomica,disciplinar obligatoria
1000044-m,ingles i,ingenieria agronomica,nivelacion
1000048-m,ingles i - virtual,ingenieria agronomica,nivelacion
1000045-m,ingles ii,ingenieria agronomica,nivelacion
1000049-m,ingles ii - virtual,ingenieria agronomica,nivelacion
1000046-m,ingles iii,ingenieria agronomica,nivelacion
1000050-m,ingles iii - virtual,ingenieria agronomica,nivelacion
1000053-m,ingles iii y iv - intensivo,ingenieria agronomica,nivelacion
1000047-m,ingles iv,ingenieria agronomica,nivelacion
1000051-m,ingles iv - virtual,ingenieria agronomica,nivelacion
3006837,introduccion a la bioquimica,ingenieria agronomica,fund. obligatoria
3007046,introduccion a las ciencias agronomicas,ingenieria agronomica,disciplinar obligatoria
3006825,laboratorio de quimica general,ingenieria agronomica,fund. obligatoria
1000002-m,lecto-escritura,ingenieria agronomica,nivelacion
3007047,manejo de plantas arvenses,ingenieria agronomica,disciplinar obligatoria
3007049,manejo integrado de plagas,ingenieria agronomica,disciplinar obligatoria
3007050,manejo y conservacion de suelos,ingenieria agronomica,disciplinar obligatoria
3007073,maquinaria y mecanizacion agricola,ingenieria agronomica,disciplinar obligatoria
1000001-m,matematicas basicas,ingenieria agronomica,nivelacion
3007053,microbiologia,ingenieria agronomica,disciplinar obligatoria
3007556,modelos de produccion en la agricultura,ingenieria agronomica,disciplinar optativa
3010831,planificacion y seguimiento de sistemas de produccion agricola,ingenieria agronomica,disciplinar optativa
3007059,practica profesional,ingenieria agronomica,disciplinar obligatoria
3006829,quimica general,ingenieria agronomica,fund. obligatoria
3006807,riegos y drenajes,ingenieria agronomica,disciplinar obligatoria
3007065,sistemas de produccion agroindustriales,ingenieria agronomica,disciplinar optativa
3007066,trabajo de grado,ingenieria agronomica,trabajo de grado
3010171,administracion de empresas agrarias,ingenieria forestal,disciplinar obligatoria
1000003-m,algebra lineal,ingenieria forestal,fund. optativa
3007006,bioestadistica i,ingenieria forestal,fund. obligatoria
3007007,bioestadistica ii,ingenieria forestal,fund. obligatoria
3007008,biofisica general,ingenieria forestal,fund. obligatoria
1000009-m,biologia general,ingenieria forestal,fund. obligatoria
3006817,biologia molecular,ingenieria forestal,fund. optativa
3006948,botanica y fisiologia vegetal,ingenieria forestal,fund. obligatoria
1000004-m,calculo diferencial,ingenieria forestal,fund. obligatoria
1000005-m,calculo integral,ingenieria forestal,fund. obligatoria
3007072,caminos forestales,ingenieria forestal,disciplinar optativa
