Codigo de asignatura,Nombre de asignatura,Numero de creditos
3010171,administracion de empresas agrarias,3
1000003-M,algebra lineal,4
1000009-M,biologia general,3
3006948,botanica y fisiologia vegetal,3
1000004-M,calculo diferencial,4
1000005-M,calculo integral,4
3006964,calidad y conservacion de la carne,3
3006997,calidad y conservacion de la leche,3
3006950,ciencia del suelo,3
3006965,composicion y conservacion de frutas y hortalizas,3
3010547,construcciones rurales,3
3007310,control estadistico de la calidad,3
3007002,cursos de posgrado,6
3007500,dibujo asistido por computador,3
3006969,diseno de sistemas de riego,3
3006971,drenaje de tierras agricolas,3
3006951,economia agropecuaria,3
1000007-M,ecuaciones diferenciales,4
3007493,electrotecnia,4
3006914,estadistica i,4
1000017-M,fisica de electricidad y magnetismo,4
1000019-M,fisica mecanica,4
3006952,formulacion y evaluacion de proyectos agrarios,3
3006976,fundamentos de ingenieria de riegos,3
3010435,fundamentos de programacion,3
3006988,fundamentos de sistemas de informacion geografica,3
3006953,fundamentos termicos,4
3007380,geologia aplicada,3
3007000,geologia fisica,4
3006954,geomorfologia,3
3006957,hidraulica,4
3006958,hidrologia y climatologia,3
3006991,ingenieria de procesos agroindustriales de granos y semillas,4
3006990,ingenieria de procesos agroindustriales de vegetales,4
3006977,ingenieria del ambiente rural,3
1000044-M,ingles i,3
1000048-M,ingles i - virtual,3
1000045-M,ingles ii,3
1000049-M,ingles ii - virtual,3
1000046-M,ingles iii,3
1000050-M,ingles iii - virtual,3
1000053-M,ingles iii y iv - intensivo,6
1000047-M,ingles iv,3
1000051-M,ingles iv - virtual,3
3006979,instrumentacion,3
3006980,interventoria para estudio y diseno de obras en adecuacion de tierras,3
3006837,introduccion a la bioquimica,3
3006981,introduccion a la ingenieria agricola,2
3006838,laboratorio de introduccion a la bioquimica,2
3006825,laboratorio de quimica general,2
1000002-M,lecto-escritura,4
1000001-M,matematicas basicas,4
3006956,materiales y herramientas,3
3006960,mecanica de fluidos,4
3006982,mecanismos,3
3006983,mecanizacion agricola,3
3006829,quimica general,3
3006987,riego por aspersion avanzado,3
3007133,tecnologia de carnes,3
3006999,"tecnologia de dulces, helados y postres",3
3006998,tecnologia de quesos y leches fermentadas,3
3007401,topografia,3
3007001,trabajo de grado,6
3006992,transformacion de frutas y hortalizas,3
3011098,agroclimatologia,4
3011064,agroecologia,5
3010622,agroecosistemas y sistemas de produccion,3
3007006,bioestadistica i,3
3007007,bioestadistica ii,4
3007008,biofisica general,3
3007009,biologia celular y molecular,3
3006828,bioquimica,3
3007010,biotecnologia vegetal,1
3007011,botanica general y economica,3
3007067,cursos de posgrado,6
3007019,desarrollo rural sostenible,2
3011012,ecologia general,3
3007023,entomologia economica,3
3007024,entomologia general,3
3007028,fertilidad del suelo,3
3007029,fisiologia de la produccion vegetal,3
3007030,fisiologia de la reproduccion vegetal,3
3007033,fisiologia vegetal,3
3007034,fitomejoramiento,3
3007035,fitopatologia,3
3007040,genetica general,3
