Info_oficinas
En el bloque M8B  en el piso S1  número 97-01  se encuentra el espacio Zona de Estudio en el campus Robledo.
En el bloque M8B  en el piso S1  número 97-02  se encuentra el espacio Sala de Reuniones en el campus Robledo.
En el bloque M8B  en el piso S1  número 97-03  se encuentra el espacio Docentes de Cátedra en el campus Robledo.
En el bloque M8B  en el piso S1  número 97-04  se encuentra el espacio CINCO - Grupo de Investigación  Centro de Investigación y Consultoría Organizacional en el campus Robledo.
En el bloque M8B  en el piso S1  número 98-01  se encuentra el espacio Aula en el campus Robledo.
En el bloque M8B  en el piso S1  número 98-02  se encuentra el espacio Aula en el campus Robledo.
En el bloque M8B  en el piso S1  número 98-11  se encuentra el espacio Lab. de Ingeniería Financiera y Ciencias de la Decisión - Cifilab en el campus Robledo.
En el bloque M8B  en el piso S1  número 99-01  se encuentra el espacio Oficina Profesora - Gloria Inés Jiménez Gutiérrez en el campus Robledo.
En el bloque M8B  en el piso S1  número 99-02  se encuentra el espacio Oficina Profesor - Daimer Higuita López en el campus Robledo.
En el bloque M8B  en el piso S1  número 99-03  se encuentra el espacio Oficina Profesora - Luz Diora Vera Acevedo en el campus Robledo.
En el bloque M8B  en el piso S1  número 99-04  se encuentra el espacio Oficina Profesores Visitantes en el campus Robledo.
En el bloque M8B  en el piso S1  número 99-05  se encuentra el espacio Oficina Profesor - José Ignacio Maya Guerra en el campus Robledo.
En el bloque M8B  en el piso S1  número 99-06  se encuentra el espacio Oficina Profesor - José Ignacio Márquez Godoy en el campus Robledo.
En el bloque M8B  en el piso S1  número 99-07  se encuentra el espacio Oficina Profesora - Luz Alexandra Montoya Restrepo en el campus Robledo.
En el bloque M8B  en el piso S1  número 99-08  se encuentra el espacio GICO - Grupo de Investigación I+D+i Logística Industrial Organizacional en el campus Robledo.
En el bloque M8B  en el piso S1  número 99-09  se encuentra el espacio CYGCO - Grupo de Investigación Modelamiento para la Gestión de Operaciones en el campus Robledo.
En el bloque M8B  en el piso S1  número 99-10  se encuentra el espacio Grupo de Investigación en Ingeniería Financiera y Gestión Empresarial en el campus Robledo.
En el bloque M8B  en el piso S1  número 99-11  se encuentra el espacio Grupo de Investigación Modelamiento y Análisis Energía  Ambiente  Economía en el campus Robledo.
En el bloque M8B  en el piso S1  número 99-12  se encuentra el espacio Oficina - Estudiantes de Doctorado en el campus Robledo.
En el bloque M8B  en el piso S1  número 99-13  se encuentra el espacio Politética - Grupo de Investigación de Política  Legislación y Gestión Ambiental en el campus Robledo.
En el bloque M8B  en el piso S1  número 99-14  se encuentra el espacio Aula Especial en el campus Robledo.
En el bloque M8B  en el piso 1  número 101  se encuentra el espacio Oficina Profesora - Eva Cristina Manotas Rodríguez en el campus Robledo.
En el bloque M8B  en el piso 1  número 102  se encuentra el espacio Oficina Profesor - Luis Diego Vélez Gómez en el campus Robledo.
En el bloque M8B  en el piso 1  número 103  se encuentra el espacio Área Curricular de Ingeniería Administrativa e Industrial en el campus Robledo.
En el bloque M8B  en el piso 1  número 104  se encuentra el espacio Unidad de Apoyo en el campus Robledo.
En el bloque M8B  en el piso 1  número 105  se encuentra el espacio Departamento Ingeniería de la Organización en el campus Robledo.
En el bloque M8B  en el piso 2  número 201  se encuentra el espacio Oficina Profesor - Diego Germán Arango Muñoz en el campus Robledo.
